"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"musl","1.2.4","MIT","COPYRIGHT","musl-1.2.4.tar.gz","http://musl.libc.org/releases","linux-headers [GPL-2.0] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"linux-headers","4.14.320","GPL-2.0","","linux-4.14.320.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v4.x","skeleton-init-common [unknown] skeleton-init-none [unknown]"
"gdb","12.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-12.1.tar.xz","http://ftpmirror.gnu.org/gdb","libzlib [Zlib] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"libzlib","1.2.13","Zlib","LICENSE","zlib-1.2.13.tar.xz","http://www.zlib.net","linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"buildroot","2021.11-8547-g7e65a1a","GPL-2.0+","COPYING","not saved","not saved",""
"gcc-final","12.3.0","unknown","","gcc-12.3.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-12.3.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gcc-initial [unknown] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"binutils","2.40","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.40.tar.xz","http://ftpmirror.gnu.org/binutils","host-skeleton [unknown]"
"gmp","6.2.1","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.2.1.tar.xz","http://ftpmirror.gnu.org/gmp","host-m4 [GPL-3.0+] host-skeleton [unknown]"
"m4","1.4.19","GPL-3.0+","COPYING","m4-1.4.19.tar.xz","http://ftpmirror.gnu.org/m4","host-skeleton [unknown]"
"mpc","1.2.1","LGPL-3.0+","COPYING.LESSER","mpc-1.2.1.tar.gz","http://ftpmirror.gnu.org/mpc","host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"mpfr","4.1.1","LGPL-3.0+","COPYING.LESSER","mpfr-4.1.1.tar.xz","http://www.mpfr.org/mpfr-4.1.1","host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"gcc-initial","12.3.0","unknown","","gcc-12.3.0.tar.xz","http://ftpmirror.gnu.org/gcc/gcc-12.3.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gmp [LGPL-3.0+ or GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"gdb","12.1","GPL-2.0+, LGPL-2.0+, GPL-3.0+, LGPL-3.0+","COPYING COPYING.LIB COPYING3 COPYING3.LIB","gdb-12.1.tar.xz","http://ftpmirror.gnu.org/gdb","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-expat [MIT] host-gmp [LGPL-3.0+ or GPL-2.0+] host-libffi [MIT] host-libiberty [LGPL-2.1+] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-ncurses [MIT with advertising clause] host-pkgconf [pkgconf license] host-python3 [Python-2.0, others] host-skeleton [unknown]"
"expat","2.5.0","MIT","COPYING","expat-2.5.0.tar.xz","http://downloads.sourceforge.net/project/expat/expat/2.5.0","host-skeleton [unknown]"
"libiberty","2.41","LGPL-2.1+","COPYING.LIB","binutils-2.41.tar.xz","http://ftpmirror.gnu.org/binutils","host-skeleton [unknown]"
"ncurses","6.4-20230603","MIT with advertising clause","COPYING","ncurses-6.4-20230603.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_4_20230603","host-skeleton [unknown]"
"python3","3.11.4","Python-2.0, others","LICENSE","Python-3.11.4.tar.xz","https://python.org/ftp/python/3.11.4","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-expat [MIT] host-libffi [MIT] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown]"
